容量,节点遥测定义,
96,,
序号,名称,标度系数,参比因子,基值,有效上限,有效下限,合理上限,合理下限,残差,滤波系数,有效梯度,单位,不判断值无效,IEC61850标志有效,符号变反,取绝对值,梯度处理,判越限,值突变处理,简单突变处理,有计划值,保留曲线数据,,
0,A机_s_modbus1_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
1,A机_s_modbus1_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
2,A机_s_modbus1_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
3,A机_c_modbus1_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
4,A机_c_modbus1_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
5,A机_c_modbus1_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
6,A机_s_modbus2_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
7,A机_s_modbus2_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
8,A机_s_modbus2_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
9,A机_c_modbus2_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
10,A机_c_modbus2_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
11,A机_c_modbus2_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
12,A机_s_modbus3_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
13,A机_s_modbus3_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
14,A机_s_modbus3_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
15,A机_c_modbus3_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
16,A机_c_modbus3_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
17,A机_c_modbus3_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
18,A机_s_modbus4_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
19,A机_s_modbus4_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
20,A机_s_modbus4_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
21,A机_c_modbus4_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
22,A机_c_modbus4_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
23,A机_c_modbus4_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
24,A机_s_modbus5_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
25,A机_s_modbus5_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
26,A机_s_modbus5_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
27,A机_c_modbus5_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
28,A机_c_modbus5_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
29,A机_c_modbus5_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
30,A机_s_modbus6_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
31,A机_s_modbus6_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
32,A机_s_modbus6_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
33,A机_c_modbus6_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
34,A机_c_modbus6_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
35,A机_c_modbus6_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
36,A机_s_modbus7_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
37,A机_s_modbus7_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
38,A机_s_modbus7_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
39,A机_c_modbus7_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
40,A机_c_modbus7_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
41,A机_c_modbus7_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
42,A机_s_modbus8_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
43,A机_s_modbus8_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
44,A机_s_modbus8_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
45,A机_c_modbus8_通道0状态最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
46,A机_c_modbus8_通道0状态最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
47,A机_c_modbus8_通道0状态平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
48,A机_s_modbus1_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
49,A机_s_modbus1_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
50,A机_s_modbus1_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
51,A机_c_modbus1_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
52,A机_c_modbus1_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
53,A机_c_modbus1_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
54,A机_s_modbus2_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
55,A机_s_modbus2_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
56,A机_s_modbus2_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
57,A机_c_modbus2_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
58,A机_c_modbus2_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
59,A机_c_modbus2_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
60,A机_s_modbus3_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
61,A机_s_modbus3_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
62,A机_s_modbus3_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
63,A机_c_modbus3_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
64,A机_c_modbus3_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
65,A机_c_modbus3_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
66,A机_s_modbus4_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
67,A机_s_modbus4_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
68,A机_s_modbus4_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
69,A机_c_modbus4_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
70,A机_c_modbus4_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
71,A机_c_modbus4_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
72,A机_s_modbus5_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
73,A机_s_modbus5_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
74,A机_s_modbus5_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
75,A机_c_modbus5_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
76,A机_c_modbus5_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
77,A机_c_modbus5_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
78,A机_s_modbus6_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
79,A机_s_modbus6_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
80,A机_s_modbus6_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
81,A机_c_modbus6_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
82,A机_c_modbus6_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
83,A机_c_modbus6_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
84,A机_s_modbus7_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
85,A机_s_modbus7_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
86,A机_s_modbus7_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
87,A机_c_modbus7_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
88,A机_c_modbus7_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
89,A机_c_modbus7_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
90,A机_s_modbus8_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
91,A机_s_modbus8_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
92,A机_s_modbus8_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
93,A机_c_modbus8_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
94,A机_c_modbus8_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
95,A机_c_modbus8_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
